IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,voted,voters,turnout
502189,Dolné Semerovce - Alsószemeréd,540,48.1117519,18.8501568,502189,0,0,34,8,6,1,2,4,0,54,0,109,437,24.94
502197,Dolný Pial,911,48.1302405,18.4626281,502197,0,1,3,64,105,6,6,12,1,163,1,362,737,49.12
502201,Domadice,242,48.1827525,18.7818986,502201,0,1,1,14,38,1,4,1,0,58,0,118,200,59
502219,Drženice,382,48.2759693,18.6956911,502219,0,0,0,39,58,2,3,7,0,89,0,198,327,60.55
502227,Farná - Farnad,1349,48.0085269,18.5070662,502227,1,0,228,19,68,2,1,6,0,93,1,419,1119,37.44
502243,Hokovce - Egeg,505,48.1573425,18.8472574,502243,0,0,41,22,54,1,0,5,0,67,0,190,397,47.86
502251,Hontianska Vrbica - Hontfüzesgyarmat,611,48.1391025,18.7137802,502251,0,1,29,38,59,0,6,8,0,78,0,219,476,46.01
502260,Horná Seč,570,48.2048806,18.5478381,502260,0,2,24,25,168,1,7,6,0,88,0,321,498,64.46
502278,Horné Semerovce - Felsőszemeréd,641,48.1306331,18.8601928,502278,0,0,25,26,40,1,0,7,0,75,0,174,490,35.51
502286,Horné Turovce - Felsőtúr,567,48.1264675,18.9578031,502286,1,0,52,16,42,1,2,7,0,63,0,184,464,39.66
502294,Horný Pial - Felsőpél,268,48.156659,18.4460754,502294,0,0,17,9,30,0,0,3,0,35,0,94,237,39.66
502324,Hronovce - Lekér,1486,48.0044629,18.6433244,502324,0,0,89,74,87,5,8,18,0,154,1,436,1174,37.14
502332,Hronské Kľačany,1401,48.2384195,18.5767159,502332,0,9,0,85,323,4,17,12,3,239,4,696,1138,61.16
502341,Hronské Kosihy,742,48.2676996,18.5900629,502341,0,0,1,40,127,2,7,15,1,126,0,319,632,50.47
502359,Iňa,229,48.1805866,18.4229078,502359,0,2,2,13,33,1,2,2,1,58,0,114,183,62.3
502367,Ipeľské Úľany - Ipolyfödémes,274,48.1335396,19.0362293,502367,0,0,68,7,19,1,0,0,1,15,0,111,224,49.55
502375,Ipeľský Sokolec - Ipolyszakállos,829,48.0150296,18.7914505,502375,0,0,120,11,27,2,0,11,0,40,0,211,659,32.02
502383,Jabloňovce,209,48.329793,18.7963846,502383,1,0,1,28,35,0,2,1,0,51,0,119,190,62.63
502391,Jur nad Hronom - Garamszentgyörgy,983,48.1286867,18.6236215,502391,0,3,68,40,120,2,3,8,0,152,3,399,804,49.63
502413,Kalná nad Hronom,2073,48.1948924,18.5141226,502413,3,3,40,130,335,6,12,11,2,243,1,786,1658,47.41
502421,Kozárovce,2082,48.3098349,18.5003008,502421,3,11,3,121,280,3,28,14,1,413,2,879,1645,53.43
502430,Krškany,791,48.2226679,18.6768625,502430,5,7,0,43,147,2,9,5,0,146,0,364,679,53.61
502448,Kubáňovo - Szete,256,48.0579444,18.8047845,502448,0,0,38,7,9,1,0,3,0,20,0,78,218,35.78
502456,Kukučínov,587,48.0892038,18.6961073,502456,0,1,8,15,38,1,1,12,0,71,0,147,447,32.89
502464,Kuraľany,475,47.9850749,18.5549958,502464,0,1,0,32,49,1,3,4,0,132,0,222,409,54.28
502472,Keť - Érsekkéty,577,47.9631837,18.5842631,502472,0,1,163,8,15,0,1,1,0,33,0,222,475,46.74
502481,Lok,1073,48.1766854,18.4719169,502481,0,1,3,57,83,1,2,3,1,165,0,316,836,37.8
502499,Lontov - Lontó,662,48.0442283,18.7705648,502499,1,0,43,21,21,2,0,10,0,38,1,137,500,27.4
502502,Lula,175,48.1713067,18.3647392,502502,0,0,0,16,9,1,1,0,1,52,0,80,145,55.17
502511,Málaš - Málas,480,48.052993,18.5175711,502511,0,0,27,14,33,1,2,3,0,57,0,137,402,34.08
502537,Malé Ludince - Kisölved,170,47.9840336,18.7003524,502537,0,1,39,1,6,0,0,0,0,8,0,55,138,39.86
502570,Mýtne Ludany - Vámosladány,980,48.1632565,18.6630738,502570,0,2,69,36,98,0,1,10,0,107,1,324,807,40.15
502588,Nová Dedina,1456,48.2820002,18.648134,502588,0,8,1,110,278,6,16,13,0,298,0,730,1197,60.99
502596,Nový Tekov,897,48.2406723,18.4899514,502596,0,3,7,46,179,6,5,14,1,174,0,435,748,58.16
502600,Nýrovce - Nyírágó,520,48.0188,18.5702234,502600,0,0,52,24,27,2,0,4,0,53,0,162,435,37.24
502618,Ondrejovce,440,48.1340791,18.5218633,502618,1,0,15,19,72,0,1,5,0,59,1,173,350,49.43
502626,Pastovce - Ipolypásztó,495,47.9631252,18.7427598,502626,0,1,37,13,25,0,0,10,0,33,0,119,433,27.48
