IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate
514381,Seč,3,SK,100.0%,0.0%,0.0%,0.0%
514390,Šútovce,3,SK,98.9%,0.0%,0.0%,0.0%
514403,Temeš,3,SK,97.6%,0.0%,0.0%,0.0%
514411,Tužina,3,SK,96.1%,0.2%,0.0%,0.0%
514420,Valaská Belá,3,SK,95.2%,0.1%,0.0%,0.0%
514438,Veľká Čausa,3,SK,96.9%,0.0%,0.2%,0.0%
514454,Zemianske Kostoľany,3,SK,96.2%,0.3%,0.1%,0.0%
514462,Rimavská Sobota - Rimaszombat,6,SK,59.1%,31.0%,0.8%,0.0%
514489,Babinec,6,SK,98.3%,0.0%,0.0%,0.0%
514501,Barca - Baraca,6,HU,7.0%,56.4%,34.6%,0.0%
514519,Bátka - Bátka,6,HU,16.5%,76.8%,4.4%,0.0%
514535,Belín,6,SK,77.1%,19.0%,1.1%,0.0%
514543,Blhovce - Balogfala,6,HU,17.7%,75.1%,5.8%,0.0%
514551,Bottovo,6,SK,88.8%,3.6%,0.0%,0.0%
514578,Bretka - Beretke,8,HU,18.4%,69.9%,8.8%,0.0%
514586,Budikovany,6,SK,95.2%,3.2%,0.0%,0.0%
514594,Cakov - Cakó,6,HU,7.6%,67.2%,19.0%,0.0%
514608,Čerenčany,6,SK,92.9%,4.2%,0.0%,0.0%
514616,Čierny Potok,6,SK,95.0%,3.5%,0.0%,0.0%
514624,Číž - Csíz,6,HU,23.9%,71.1%,3.4%,0.0%
514632,Dolné Zahorany - Magyarhegymeg,6,HU,14.9%,80.9%,0.0%,0.0%
514641,Dražice - Perjése,6,HU,45.7%,46.1%,4.3%,0.0%
514659,Drienčany,6,SK,94.5%,3.6%,1.8%,0.0%
514667,Drňa - Darnya,6,HU,13.5%,80.5%,1.4%,0.0%
514675,Držkovce - Deresk,6,HU,24.9%,67.2%,2.9%,0.0%
514683,Dubno - Dobfenek,6,HU,14.7%,81.3%,0.0%,0.0%
514691,Dubovec - Dobóca,6,HU,13.8%,70.8%,8.9%,0.0%
514713,Figa - Gömörfüge,6,SK,44.6%,36.7%,15.8%,0.0%
514721,Gemer - Sajógömör,6,HU,19.6%,77.2%,2.4%,0.0%
514730,Gemerček - Kisgömöri,6,HU,21.9%,77.1%,0.0%,0.0%
514748,Gemerská Panica - Gömörpanyit,8,SK,56.3%,39.8%,0.0%,0.0%
514756,Gemerská Ves - Gömörfalva,6,HU,36.2%,53.7%,6.5%,0.0%
514764,Gemerské Dechtáre - Détér,6,HU,8.0%,88.3%,1.2%,0.0%
514781,Gemerský Jablonec - Almágy,6,HU,11.8%,86.2%,0.0%,0.0%
514799,Gortva - Gortvakisfalud,6,HU,24.5%,70.5%,3.1%,0.0%
514811,Hajnáčka - Ajnácskő,6,HU,18.3%,76.6%,1.4%,0.0%
514829,Hnúšťa,6,SK,89.9%,0.7%,0.5%,0.0%
514837,Hodejov - Várgede,6,HU,29.5%,59.8%,6.9%,0.0%
514845,Hodejovec - Kerekgede,6,SK,48.8%,47.7%,0.0%,0.0%
514853,Horné Zahorany,6,SK,97.3%,1.8%,0.9%,0.0%
514861,Hostice - Gesztete,6,HU,10.7%,75.9%,10.7%,0.0%
514870,Hostišovce,6,SK,93.0%,1.7%,2.2%,0.0%
514888,Hrachovo,6,SK,96.0%,1.3%,0.0%,0.0%
514896,Hrlica,6,SK,94.6%,0.0%,0.0%,0.0%
514900,Hrnčiarska Ves,6,SK,90.9%,0.4%,0.6%,0.0%
514918,Hrnčiarske Zalužany,6,SK,95.8%,1.3%,0.0%,0.0%
514926,Hrušovo,6,SK,95.3%,2.3%,0.0%,0.0%
514934,Hubovo - Hubó,6,HU,18.0%,78.9%,2.3%,0.0%
514942,Husiná - Guszona,6,HU,17.7%,77.6%,1.5%,0.0%
514951,Chanava - Hanva,6,HU,8.6%,87.4%,3.1%,0.0%
514969,Chrámec - Harmac,6,HU,15.9%,43.7%,37.1%,0.0%
514977,Chvalová - Felsőfalu,6,HU,44.3%,49.0%,5.2%,0.5%
514985,Ivanice - Balogiványi,6,HU,10.5%,71.8%,15.2%,0.0%
514993,Janice - Jéne,6,HU,3.7%,80.4%,11.1%,0.0%
515001,Jesenské (RS) - Feled,6,HU,29.3%,53.5%,14.7%,0.0%
515019,Jestice - Jeszte,6,HU,4.1%,95.2%,0.7%,0.0%
515027,Kaloša - Kálosa,6,HU,13.4%,71.9%,8.6%,0.0%
515035,Kesovce,6,XR,8.1%,14.0%,75.6%,0.0%
515043,Klenovec,6,SK,94.5%,0.0%,2.9%,0.0%
515051,Kociha,6,SK,98.0%,0.5%,0.0%,0.0%
515060,Konrádovce - Korláti,6,HU,18.6%,77.4%,0.6%,0.0%
515078,Kráľ - Sajószentkirály,6,HU,21.5%,59.7%,17.8%,0.0%
515086,Kraskovo,6,SK,96.2%,1.5%,0.0%,0.0%
515094,Krokava,6,SK,91.3%,4.3%,0.0%,0.0%
515108,Kružno,6,SK,95.1%,2.0%,0.0%,0.0%
515116,Kyjatice,6,SK,98.5%,0.0%,0.0%,0.0%
515124,Lehota nad Rimavicou,6,SK,96.4%,0.7%,0.0%,0.0%
515132,Lenartovce - Sajólénártfalva,6,HU,6.6%,83.9%,7.9%,0.0%
515141,Lenka - Sajólenke,6,HU,39.5%,58.5%,0.0%,0.0%
515159,Levkuška - Lőkös,6,HU,16.3%,76.6%,4.6%,0.0%
515167,Lipovec (RS),6,SK,91.1%,5.6%,0.0%,0.0%
515175,Lukovištia,6,SK,92.6%,2.5%,0.0%,0.0%
515183,Martinová - Nemesmartonfala,6,HU,12.1%,45.3%,36.8%,0.0%
515205,Neporadza (RS) - Naprágy,6,HU,18.5%,79.4%,0.7%,0.0%
515230,Nová Bašta - Egyházasbást,6,HU,13.3%,78.7%,5.0%,0.0%
515248,Orávka,6,SK,88.2%,8.1%,0.6%,0.0%
515256,Otročok - Otrokocs,6,HU,26.5%,72.0%,0.0%,0.0%
515264,Ožďany,6,SK,74.3%,19.1%,0.3%,0.0%
515272,Padarovce - Balogpádár,6,SK,66.4%,30.2%,0.0%,0.7%
515281,Pavlovce (RS) - Rimapálfalva,6,HU,11.6%,83.3%,2.7%,0.0%
515299,Petrovce (RS) - Gömörpéterfala,6,HU,8.2%,91.3%,0.0%,0.0%
515302,Ploské (RA),6,SK,97.2%,0.0%,0.0%,0.0%
515311,Polina - Alsófalu,6,HU,34.8%,62.9%,0.0%,0.0%
515337,Poproč (RS),6,SK,95.7%,4.3%,0.0%,0.0%
515345,Potok (RS),6,SK,100.0%,0.0%,0.0%,0.0%
515353,Radnovce - Nemesradnót,6,HU,2.5%,60.7%,33.8%,0.0%
515361,Rašice - Felsőrás,6,HU,8.5%,90.6%,0.0%,0.0%
515370,Ratková,6,SK,88.9%,1.0%,1.9%,0.3%
515388,Ratkovská Lehota,6,SK,100.0%,0.0%,0.0%,0.0%
515396,Ratkovská Suchá,6,SK,97.6%,0.0%,0.0%,0.0%
515400,Ratkovské Bystré,6,SK,94.1%,2.6%,0.0%,0.0%
515426,Rimavská Baňa,6,SK,96.4%,0.0%,0.0%,0.2%
515442,Rimavská Seč - Rimaszécs,6,HU,10.9%,80.3%,6.9%,0.1%
515451,Rimavské Brezovo,6,SK,96.6%,0.4%,1.8%,0.0%
515469,Rimavské Janovce - Jánosi,6,SK,53.0%,37.7%,8.2%,0.0%
515485,Rovné (RS),6,SK,99.2%,0.0%,0.0%,0.0%
515493,Rumince - Runya,6,HU,35.8%,61.7%,1.1%,0.0%
515507,Rybník (RA),6,SK,93.7%,0.6%,0.6%,0.0%
515515,Selce (PT),6,SK,96.5%,1.8%,0.0%,0.0%
515523,Skerešovo - Szkáros,6,SK,53.2%,42.1%,1.4%,0.0%
515531,Slizké,6,SK,97.5%,2.1%,0.0%,0.0%
515540,Stará Bašta - Óbást,6,HU,9.1%,87.3%,0.0%,0.0%
515566,Stránska - Oldalfala,6,SK,50.1%,47.8%,1.2%,0.0%
515574,Leváre - Lévárt,6,HU,8.8%,83.8%,1.3%,0.0%
515582,Studená - Medveshidegkút,6,HU,18.3%,78.4%,2.9%,0.0%
515591,Sušany,6,SK,97.4%,0.7%,0.0%,0.0%
515604,Sútor - Szútor,6,HU,6.0%,82.4%,8.8%,0.0%
515612,Tornaľa - Tornalja,6,HU,30.9%,58.3%,2.8%,0.0%
515621,Šimonovce - Rimasimonyi,6,HU,12.3%,71.4%,13.6%,0.0%
515639,Širkovce - Serke,6,HU,8.6%,85.9%,2.7%,0.0%
515647,Španie Pole,6,SK,96.1%,1.3%,0.0%,0.0%
515655,Štrkovec - Kövecses,6,HU,11.8%,67.9%,18.9%,0.0%
515663,Tachty - Tajti,6,HU,10.6%,88.0%,0.0%,0.0%
515671,Teplý Vrch,6,SK,93.5%,1.4%,0.0%,0.0%
515680,Tisovec,6,SK,96.3%,0.4%,0.3%,0.0%
515698,Tomášovce (RS) - Balogtamási,6,HU,12.2%,82.4%,2.0%,0.0%
515701,Uzovská Panica - Uzapanyit,6,HU,20.2%,62.6%,14.0%,0.0%
515710,Včelince - Méhi,6,HU,21.4%,61.6%,15.8%,0.0%
515728,Večelkov - Vecseklő,6,HU,14.3%,81.8%,1.3%,0.0%
515736,Veľké Teriakovce,6,SK,93.1%,3.2%,1.3%,0.0%
515744,Veľký Blh - Vámosbalog,6,HU,24.9%,56.1%,17.7%,0.0%
515752,Vieska nad Blhom - Balogújfalu,6,HU,3.4%,93.8%,2.8%,0.0%
515761,Višňové (RA) - Kisvisnyó,6,SK,50.8%,47.5%,1.7%,0.0%
515779,Vlkyňa - Velkenye,6,HU,6.7%,87.4%,5.1%,0.0%
515795,Valice - Alsóvály,6,HU,18.8%,76.2%,1.9%,0.0%
515809,Vyšný Skálnik,6,SK,98.5%,0.7%,0.0%,0.0%
515817,Zádor - Zádorháza,6,HU,11.9%,74.8%,3.7%,0.0%
515833,Žiar (RA) - Zsór,6,HU,36.0%,64.0%,0.0%,0.0%
515841,Žíp - Zsip,6,HU,3.2%,92.2%,0.4%,0.0%
515850,Veľký Krtíš,6,SK,84.5%,4.8%,0.4%,0.0%
515868,Balog nad Ipľom - Ipolybalog,6,HU,14.5%,82.3%,0.1%,0.0%
515876,Bátorová,6,SK,86.7%,11.6%,0.0%,0.0%
515884,Brusník,6,SK,99.1%,0.0%,0.0%,0.0%
515892,Bušince - Bussa,6,SK,73.8%,20.4%,0.6%,0.0%
515906,Čebovce - Csáb,6,HU,42.8%,55.4%,0.1%,0.0%
515914,Čeláre - Csalár,6,SK,69.6%,24.2%,0.4%,0.0%
515922,Čelovce (VK),6,SK,96.3%,0.2%,0.7%,0.0%
515931,Červeňany,6,SK,100.0%,0.0%,0.0%,0.0%
515949,Dačov Lom,6,SK,95.5%,0.0%,0.0%,0.0%
515957,Dolinka - Inám,6,HU,12.1%,87.0%,0.0%,0.0%
515965,Dolná Strehová,6,SK,96.4%,0.3%,0.2%,0.0%
515973,Dolné Plachtince,6,SK,87.1%,1.2%,1.2%,0.0%
515981,Dolné Strháre,6,SK,93.9%,2.0%,0.0%,0.5%
515990,Ďurkovce - Gyürki,6,SK,55.6%,42.1%,0.0%,0.0%
516007,Glabušovce - Galábocs,6,SK,70.8%,23.0%,1.8%,0.0%
516015,Horná Strehová,6,SK,98.7%,0.0%,0.0%,0.0%
516023,Horné Plachtince,6,SK,95.2%,1.4%,0.0%,0.0%
516031,Horné Strháre,6,SK,96.5%,1.6%,0.0%,0.0%
516040,Hrušov (VK),6,SK,93.9%,0.5%,0.0%,0.0%
516058,Chrastince,6,SK,81.7%,11.5%,2.9%,0.0%
516066,Chrťany,6,SK,99.1%,0.0%,0.0%,0.0%
516074,Ipeľské Predmostie - Ipolyhídvég,6,HU,24.6%,73.2%,0.0%,0.0%
516082,Kamenné Kosihy - Kőkeszi,6,HU,35.6%,63.0%,0.0%,0.0%
516091,Kiarov - Ipolykér,6,HU,41.4%,57.1%,0.4%,0.0%
516104,Kleňany - Kelenye,6,HU,14.7%,82.7%,0.0%,0.0%
516112,Koláre - Kóvár,6,HU,24.3%,73.3%,0.4%,0.0%
516121,Kosihovce - Dacsókeszi,6,SK,72.1%,26.8%,0.5%,0.0%
516139,Kosihy nad Ipľom - Ipolykeszi,6,HU,18.8%,77.0%,0.0%,0.0%
516147,Kováčovce - Szécsénykovácsi,6,HU,44.7%,52.5%,0.0%,0.0%
516155,Lesenice,6,SK,85.6%,10.3%,0.4%,0.0%
516163,Ľuboriečka,6,SK,93.8%,0.0%,0.0%,0.0%
516171,Malá Čalomija,6,SK,87.6%,9.3%,0.0%,0.0%
516198,Malé Zlievce,6,SK,94.9%,1.7%,0.0%,0.0%
516210,Modrý Kameň,6,SK,93.5%,1.5%,0.6%,0.0%
516228,Muľa,6,SK,79.4%,14.2%,0.0%,0.0%
516236,Nenince - Lukanénye,6,HU,43.9%,54.6%,0.0%,0.0%
516244,Nová Ves,6,SK,89.8%,1.8%,0.0%,0.0%
516252,Obeckov,6,SK,94.4%,1.4%,0.2%,0.0%
516261,Olováry - Óvár,6,HU,27.7%,71.2%,0.0%,0.0%
516279,Opatovská Nová Ves - Apátújfalu,6,SK,49.8%,45.8%,0.0%,0.0%
516287,Opava,6,SK,83.6%,8.2%,0.0%,0.0%
516295,Pôtor,6,SK,95.7%,0.8%,0.9%,0.0%
516309,Pravica,6,SK,93.2%,0.0%,5.1%,0.0%
516317,Príbelce,6,SK,96.6%,0.7%,0.0%,0.0%
516333,Sečianky - Ipolyszécsényke,6,HU,20.9%,74.6%,1.8%,0.0%
516341,Seľany - Szelény,6,SK,59.3%,34.6%,0.0%,0.0%
516368,Senné (VK),6,SK,96.8%,0.0%,1.6%,0.0%
516376,Sklabiná,6,SK,92.5%,0.8%,1.4%,0.1%
516384,Slovenské Ďarmoty,6,SK,67.7%,16.5%,6.9%,0.0%
516392,Slovenské Kľačany,6,SK,94.7%,1.2%,3.5%,0.0%
516406,Stredné Plachtince,6,SK,96.2%,0.2%,1.0%,0.0%
516414,Sucháň,6,SK,97.7%,0.0%,1.1%,0.0%
516422,Suché Brezovo,6,SK,97.9%,1.1%,0.0%,0.0%
516431,Širákov - Sirak,6,HU,42.1%,56.3%,0.0%,0.0%
516449,Šuľa,6,SK,97.3%,1.4%,0.0%,0.0%
516457,Trebušovce - Terbegec,6,HU,20.1%,78.7%,0.0%,0.0%
516465,Veľká Čalomija - Nagycsalomja,6,HU,39.6%,57.2%,0.0%,0.0%
516473,Veľká Ves nad Ipľom - Ipolynagyfalu,6,HU,34.8%,59.5%,1.7%,0.0%
516490,Veľké Zlievce,6,SK,88.8%,7.8%,1.6%,0.0%
516503,Veľký Lom,6,SK,89.9%,0.0%,0.0%,0.0%
516511,Vieska (VK),6,SK,95.4%,0.0%,0.5%,0.0%
516520,Vinica - Ipolynyék,6,HU,17.7%,78.9%,0.1%,0.0%
516538,Vrbovka - Ipolyvarbó,6,HU,27.4%,70.5%,0.0%,0.0%
516546,Záhorce,6,SK,94.8%,2.8%,0.0%,0.0%
516554,Závada (VK),6,SK,91.6%,0.5%,0.2%,0.0%
516562,Zombor,6,SK,98.0%,0.7%,0.0%,0.0%
516571,Želovce,6,SK,86.5%,10.9%,0.0%,0.0%
516589,Žiar nad Hronom,6,SK,88.1%,0.4%,0.4%,0.1%
516597,Svätý Anton,6,SK,94.4%,0.2%,0.2%,0.0%
516601,Baďan,6,SK,76.0%,0.0%,21.0%,0.0%
516627,Banská Belá,6,SK,94.4%,0.1%,0.3%,0.0%
516643,Banská Štiavnica,6,SK,95.7%,0.3%,0.5%,0.0%
516651,Banský Studenec,6,SK,97.2%,0.0%,1.1%,0.0%
516660,Bartošova Lehôtka,6,SK,95.5%,0.0%,0.0%,0.0%
516678,Beluj,6,SK,94.9%,0.0%,0.0%,0.0%
516708,Bzenica,6,SK,97.9%,0.0%,0.2%,0.0%
516716,Dekýš,6,SK,100.0%,0.0%,0.0%,0.0%
516724,Dolná Trnávka,6,SK,99.1%,0.0%,0.0%,0.0%
516732,Dolná Ves,6,SK,95.0%,0.0%,0.0%,0.0%
516741,Dolná Ždaňa,6,SK,92.2%,0.0%,1.5%,0.0%
516759,Hodruša-Hámre,6,SK,92.6%,0.0%,0.4%,0.1%
516767,Hliník nad Hronom,6,SK,92.0%,0.1%,0.2%,0.0%
516791,Horná Ždaňa,6,SK,97.2%,0.2%,0.0%,0.0%
516805,Horné Hámre,6,SK,97.0%,0.3%,0.2%,0.0%
516813,Hrabičov,6,SK,97.2%,0.4%,0.0%,0.0%
516821,Hronská Dúbrava,6,SK,93.5%,0.2%,0.7%,0.0%
516830,Hronský Beňadik,6,SK,96.8%,0.1%,0.4%,0.0%
516848,Ihráč,6,SK,98.6%,0.0%,0.0%,0.0%
516856,Ilija,6,SK,99.7%,0.0%,0.0%,0.0%
516872,Janova Lehota,6,SK,93.2%,0.0%,0.4%,0.5%
516881,Jastrabá,6,SK,95.6%,0.2%,0.0%,0.0%
516902,Kľak,6,SK,96.1%,0.0%,0.0%,0.0%
516937,Kopernica,6,SK,93.2%,0.3%,0.0%,0.0%
516945,Kosorín,6,SK,95.2%,0.2%,0.0%,0.0%
516953,Kozelník,6,SK,98.8%,0.0%,0.0%,0.0%
516961,Krahule,6,SK,91.9%,0.4%,0.0%,0.0%
516970,Kremnica,6,SK,93.4%,0.2%,0.7%,0.1%
516988,Kremnické Bane,6,SK,93.7%,0.0%,0.0%,0.0%
516996,Kunešov,6,SK,88.6%,0.0%,0.0%,0.0%
517011,Lehôtka pod Brehmi,6,SK,89.4%,0.3%,2.0%,0.0%
517020,Lovča,6,SK,98.1%,0.1%,0.0%,0.0%
517038,Lovčica-Trubín,6,SK,98.3%,0.0%,0.1%,0.0%
517046,Lúčky (ZH),6,SK,97.4%,0.5%,0.0%,0.0%
517062,Malá Lehota,6,SK,95.8%,0.1%,0.0%,0.0%
517071,Močiar,6,SK,98.2%,0.0%,0.0%,0.0%
517089,Nevoľné,6,SK,98.5%,0.0%,0.0%,0.0%
517097,Nová Baňa,6,SK,93.3%,0.2%,0.1%,0.1%
517119,Ostrý Grúň,6,SK,94.6%,0.2%,0.2%,0.0%
517127,Píla (ZC),6,SK,96.8%,0.8%,0.8%,0.0%
517135,Pitelová,6,SK,96.0%,0.2%,0.0%,0.0%
517143,Podhorie (BS),6,SK,98.5%,0.3%,0.0%,0.0%
517160,Počúvadlo,6,SK,94.2%,1.2%,0.0%,0.0%
517178,Prenčov,6,SK,98.1%,0.5%,0.0%,0.0%
517186,Prestavlky,6,SK,97.2%,0.0%,0.9%,0.1%
517194,Prochot,6,SK,98.6%,0.4%,0.0%,0.0%
517216,Repište,6,SK,98.2%,0.4%,0.0%,0.0%
517232,Rudno nad Hronom,6,SK,93.5%,0.0%,0.2%,0.0%
517241,Sklené Teplice,6,SK,98.2%,0.3%,0.0%,0.0%
517259,Slaská,6,SK,92.2%,0.4%,0.2%,0.0%
517267,Stará Kremnička,6,SK,95.1%,0.3%,0.6%,0.0%
517283,Štiavnické Bane,6,SK,96.3%,0.1%,0.0%,0.1%
517291,Tekovská Breznica,6,SK,96.5%,0.2%,0.0%,0.0%
517305,Tekovské Nemce,4,SK,94.6%,0.2%,0.0%,0.0%
517313,Trnavá Hora,6,SK,98.5%,0.2%,0.2%,0.0%
517330,Veľká Lehota,6,SK,97.5%,0.3%,0.1%,0.0%
517348,Veľké Pole,6,SK,97.9%,0.2%,1.0%,0.0%
517356,Voznica,6,SK,97.6%,0.0%,0.0%,0.0%
517364,Vyhne,6,SK,96.0%,0.3%,0.1%,0.0%
517372,Vysoká (BS),6,SK,97.7%,0.8%,0.0%,0.0%
517381,Žarnovica,6,SK,91.0%,0.1%,0.6%,0.0%
517399,Župkov,6,SK,91.2%,0.3%,5.6%,0.0%
517402,Žilina,5,SK,92.4%,0.1%,0.1%,0.1%
517429,Belá (ZA),5,SK,97.3%,0.0%,0.0%,0.0%
517461,Bytča,5,SK,94.2%,0.0%,0.0%,0.0%
517470,Čičmany,5,SK,100.0%,0.0%,0.0%,0.0%
517488,Divina,5,SK,98.9%,0.0%,0.0%,0.0%
517496,Divinka,5,SK,96.6%,0.0%,0.0%,0.0%
517500,Dlhé Pole,5,SK,97.9%,0.1%,0.1%,0.0%
517518,Dolná Tižina,5,SK,99.0%,0.0%,0.0%,0.0%
517526,Dolný Hričov,5,SK,96.4%,0.0%,0.1%,0.1%
517542,Fačkov,5,SK,98.8%,0.0%,0.0%,0.0%
517551,Gbeľany,5,SK,97.4%,0.1%,0.0%,0.0%
517577,Hôrky,5,SK,98.0%,0.0%,0.0%,0.0%
517593,Horný Hričov,5,SK,99.2%,0.0%,0.0%,0.0%
517623,Hvozdnica,5,SK,97.6%,0.0%,0.0%,0.0%
517631,Jablonové (BY),5,SK,98.6%,0.0%,0.0%,0.0%
517640,Jasenové,5,SK,96.6%,0.2%,0.0%,0.0%
517658,Kamenná Poruba (ZA),5,SK,99.0%,0.0%,0.0%,0.0%
517674,Kolárovice,5,SK,99.0%,0.1%,0.0%,0.0%
517682,Konská (ZA),5,SK,98.6%,0.1%,0.0%,0.1%
517691,Kotešová,5,SK,98.4%,0.4%,0.0%,0.0%
517704,Kotrčiná Lúčka,5,SK,99.6%,0.0%,0.0%,0.0%
517712,Krasňany,5,SK,93.6%,0.1%,0.0%,0.1%
517721,Kunerad,5,SK,99.0%,0.0%,0.0%,0.0%
517739,Lietava,5,SK,98.4%,0.1%,0.1%,0.0%
517755,Lietavská Svinná-Babkov,5,SK,95.3%,0.0%,0.0%,0.1%
517763,Lutiše,5,SK,98.9%,0.1%,0.0%,0.0%
517771,Lysica,5,SK,97.8%,0.0%,0.0%,0.0%
517780,Malá Čierna,5,SK,97.6%,0.0%,0.3%,0.0%
517798,Maršová-Rašov,5,SK,95.4%,0.0%,0.0%,0.0%
517801,Mojš,5,SK,96.1%,0.1%,0.0%,0.0%
517828,Nededza,5,SK,97.6%,0.0%,0.0%,0.0%
517861,Petrovice,5,SK,96.2%,0.1%,0.0%,0.0%
517879,Podhorie (ZA),5,SK,98.2%,0.5%,0.0%,0.0%
517895,Predmier,5,SK,94.5%,0.0%,0.0%,0.1%
517917,Rajec,5,SK,94.2%,0.1%,0.0%,0.0%
517925,Rajecká Lesná,5,SK,99.2%,0.0%,0.0%,0.0%
517933,Rajecké Teplice,5,SK,96.2%,0.1%,0.0%,0.0%
517941,Rosina,5,SK,96.9%,0.1%,0.0%,0.0%
517950,Stráňavy,5,SK,96.2%,0.2%,0.0%,0.0%
517968,Stránske,5,SK,97.5%,0.2%,0.0%,0.0%
517976,Stráža,5,SK,98.7%,0.0%,0.0%,0.0%
517984,Strečno,5,SK,96.9%,0.0%,0.0%,0.0%
517992,Súľov-Hradná,5,SK,96.9%,0.1%,0.0%,0.0%
518000,Svederník,5,SK,97.8%,0.1%,0.1%,0.0%
518018,Štiavnik,5,SK,96.6%,0.0%,0.0%,0.0%
518034,Teplička nad Váhom,5,SK,96.6%,0.1%,0.0%,0.0%
518042,Terchová,5,SK,95.2%,0.1%,0.0%,0.0%
518051,Turie,5,SK,96.6%,0.0%,0.0%,0.0%
518069,Varín,5,SK,97.7%,0.1%,0.0%,0.1%
518077,Veľká Čierna,5,SK,97.5%,0.0%,0.0%,0.0%
518085,Veľké Rovné,5,SK,95.9%,0.0%,0.0%,0.1%
518093,Višňové (ZA),5,SK,94.9%,0.0%,0.0%,0.1%
518107,Hosťovce (KS) - Bódvavendégi,8,HU,40.1%,57.9%,0.0%,0.0%
518115,Slančík,8,SK,95.5%,0.5%,0.0%,0.0%
518123,Háj (KS) - Áj,8,HU,23.4%,71.0%,0.0%,0.0%
518131,Zbyňov,5,SK,98.2%,0.0%,0.0%,0.0%
518140,Nižná Hutka,8,SK,97.6%,1.0%,0.0%,0.2%
518158,Zvolen,6,SK,89.2%,0.4%,0.3%,0.1%
518166,Babiná,6,SK,96.8%,0.0%,0.2%,0.2%
518174,Bacúrov,6,SK,98.1%,0.6%,0.0%,0.0%
518191,Breziny,6,SK,92.5%,0.0%,1.3%,0.0%
518204,Budča,6,SK,97.0%,0.3%,0.7%,0.0%
518212,Bzovík,6,SK,95.8%,0.2%,3.2%,0.0%
518221,Bzovská Lehôtka,6,SK,96.2%,0.0%,0.0%,0.0%
518239,Cerovo,6,SK,97.6%,0.2%,0.0%,0.0%
518247,Čabradský Vrbovok,6,SK,97.0%,0.0%,0.9%,0.0%
518255,Čekovce,6,SK,91.8%,0.0%,4.0%,0.0%
518263,Detva,6,SK,93.2%,0.2%,0.9%,0.0%
518271,Detvianska Huta,6,SK,97.9%,0.0%,0.2%,0.0%
518280,Devičie,6,SK,98.7%,0.0%,0.0%,0.0%
518298,Dobrá Niva,6,SK,98.1%,0.0%,0.0%,0.0%
518301,Dolné Mladonice,6,SK,100.0%,0.0%,0.0%,0.0%
518310,Dolný Badín,6,SK,99.2%,0.0%,0.4%,0.0%
518336,Domaníky,6,SK,96.2%,0.0%,2.8%,0.0%
518344,Drážovce,6,SK,94.1%,0.8%,3.4%,0.0%
518352,Drienovo,6,SK,100.0%,0.0%,0.0%,0.0%
518361,Dubové (ZV),6,SK,96.3%,0.0%,0.3%,0.0%
518379,Dúbravy,6,SK,97.3%,0.0%,0.5%,0.0%
518387,Dudince,6,SK,92.6%,3.0%,0.0%,0.1%
518409,Hontianske Moravce,6,SK,89.0%,0.9%,0.0%,0.3%
518417,Hontianske Nemce,6,SK,94.9%,0.0%,1.0%,0.0%
518425,Hontianske Tesáre,6,SK,94.8%,0.0%,0.7%,0.0%
518433,Horné Mladonice,6,SK,88.7%,0.5%,10.2%,0.0%
518441,Horný Badín,6,SK,98.3%,0.6%,0.0%,0.0%
518450,Horný Tisovník,6,SK,97.1%,0.0%,0.0%,0.0%
518468,Hriňová,6,SK,94.4%,0.1%,0.0%,0.0%
518476,Hronská Breznica,6,SK,93.0%,1.2%,0.0%,0.0%
518484,Jalšovík,6,SK,96.8%,0.0%,1.6%,0.0%
518492,Klokoč,6,SK,97.7%,0.0%,0.0%,0.0%
518506,Kováčová (ZV),6,SK,96.0%,0.2%,0.0%,0.1%
518514,Kozí Vrbovok,6,SK,100.0%,0.0%,0.0%,0.0%
518522,Haniska (PO),7,SK,93.5%,0.1%,0.0%,0.3%
518531,Kráľovce-Krnišov,6,SK,92.4%,0.0%,6.9%,0.0%
518549,Kriváň,6,SK,98.3%,0.1%,0.0%,0.0%
518557,Krupina,6,SK,94.1%,0.3%,0.4%,0.0%
518565,Lackov,6,SK,97.9%,1.1%,0.0%,0.0%
518573,Ladzany,6,SK,94.2%,0.0%,2.7%,0.0%
518581,Lešť (vojenský obvod),6,SK,90.3%,0.0%,0.0%,0.0%
518590,Ľubotice,7,SK,92.9%,0.1%,0.0%,1.2%
518603,Lišov,6,SK,89.9%,0.0%,3.7%,0.0%
518611,Litava,6,SK,98.3%,0.0%,1.1%,0.0%
518620,Ratkovce,2,SK,97.1%,0.3%,0.0%,0.0%
518638,Valaškovce (vojenský obvod),7,SK,,,,
518646,Medovarce,6,SK,98.6%,0.5%,0.0%,0.0%
518654,Michalková,6,SK,94.6%,0.0%,0.0%,0.0%
518662,Očová,6,SK,96.2%,0.2%,0.3%,0.1%
518671,Ostrá Lúka,6,SK,94.8%,0.0%,0.0%,0.3%
518689,Pliešovce,6,SK,94.5%,0.3%,0.0%,0.1%
518697,Podzámčok,6,SK,98.5%,0.2%,0.0%,0.0%
518701,Rykynčice,6,SK,95.8%,0.4%,0.4%,0.0%
518719,Čimhová,5,SK,99.6%,0.0%,0.0%,0.0%
518727,Sása (ZV),6,SK,96.3%,0.3%,0.0%,0.0%
518735,Sebechleby,6,SK,98.0%,0.1%,0.1%,0.0%
